Reaction_ID	Reaction_name	Subsystem	Reaction_formula	design_121	design_124	design_25	Jaccard
2AGPEAT161	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1)	Glycerophospholipid Metabolism	hdcea_c + atp_c + 2agpe161_c  -> ppi_c + pe161_c + amp_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
2AGPEAT141	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1)	Glycerophospholipid Metabolism	atp_c + ttdcea_c + 2agpe141_c  -> pe141_c + ppi_c + amp_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
2AGPGAT160	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0)	Glycerophospholipid Metabolism	atp_c + 2agpg160_c + hdca_c  -> ppi_c + pg160_c + amp_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
CLPNS180pp	Cardiolipin synthase (periplasmic, n-C18:0)	Glycerophospholipid Metabolism	2 pg180_p  <=> glyc_p + clpn180_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
CLPNS181pp	Cardiolipin synthase (periplasmic, n-C18:1)	Glycerophospholipid Metabolism	2 pg181_p  <=> glyc_p + clpn181_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PG161abcpp	Phosphatidylglycerol transport via ABC system (n-C16:1, periplasm)	Transport, Inner Membrane	pg161_c + atp_c + h2o_c  -> h_c + adp_c + pi_c + pg161_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PGP120abcpp	Phosphatidylglycerophosphate transport via ABC system (n-C12:0, periplasm)	Transport, Inner Membrane	atp_c + h2o_c + pgp120_c  -> h_c + adp_c + pi_c + pgp120_p 	0.00 / 4.41	0.00 / 4.41	0.00 / 5.39	0.82
PGP161abcpp	Phosphatidylglycerophosphate transport via ABC system (n-C16:1, periplasm)	Transport, Inner Membrane	atp_c + pgp161_c + h2o_c  -> h_c + adp_c + pi_c + pgp161_p 	0.00 / 4.41	0.00 / 4.41	0.00 / 5.39	0.82
PGP181abcpp	Phosphatidylglycerophosphate transport via ABC system (n-C18:1, periplasm)	Transport, Inner Membrane	atp_c + h2o_c + pgp181_c  -> h_c + adp_c + pi_c + pgp181_p 	0.00 / 4.41	0.00 / 4.41	0.00 / 5.39	0.82
PA120abcpp	Phosphatidate transport via ABC system (n-C12:0, periplasm)	Transport, Inner Membrane	atp_c + h2o_c + pa120_c  -> h_c + adp_c + pi_c + pa120_p 	0.00 / 10.28	0.00 / 10.28	0.00 / 12.58	0.82
PLIPA1G120pp	Phospholipase A1 (phosphatidylglycerol, n-C12:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pg120_p  -> h_p + 2agpg120_p + ddca_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
CLPNS120pp	Cardiolipin synthase (periplasmic, n-C12:0)	Glycerophospholipid Metabolism	2 pg120_p  <=> clpn120_p + glyc_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
2AGPGAT120	2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0)	Glycerophospholipid Metabolism	2agpg120_c + atp_c + ddca_c  -> pg120_c + ppi_c + amp_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
FACOAL141t2pp	Fatty-acid-CoA ligase (tetradecenoate transport via vectoral Co-A coupling)	Cell Envelope Biosynthesis	h_p + atp_c + ttdcea_p + coa_c  -> h_c + tdecoa_c + ppi_c + amp_c 	0.00 / 5.00	0.00 / 5.00	0.00 / 6.12	0.82
FACOAL161t2pp	Fatty-acid-CoA ligase (hexadecenoate transport via vectoral Co-A coupling)	Cell Envelope Biosynthesis	h_p + atp_c + coa_c + hdcea_p  -> h_c + hdcoa_c + ppi_c + amp_c 	0.00 / 5.00	0.00 / 5.00	0.00 / 6.12	0.82
PA160abcpp	Phosphatidate transport via ABC system (n-C16:0, periplasm)	Transport, Inner Membrane	pa160_c + atp_c + h2o_c  -> h_c + adp_c + pi_c + pa160_p 	0.00 / 10.28	0.00 / 10.28	0.00 / 12.58	0.82
PA181abcpp	Phosphatidate transport via ABC system (n-C18:1, periplasm)	Transport, Inner Membrane	pa181_c + atp_c + h2o_c  -> h_c + adp_c + pi_c + pa181_p 	0.00 / 10.28	0.00 / 10.28	0.00 / 12.58	0.82
12DGR141tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)	Transport, Inner Membrane	12dgr141_p  -> 12dgr141_c 	0.00 / 10.28	0.00 / 10.28	0.00 / 12.58	0.82
PGPP140pp	Phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:0)	Glycerophospholipid Metabolism	h2o_p + pgp140_p  -> pg140_p + pi_p 	0.00 / 4.41	0.00 / 4.41	0.00 / 5.39	0.82
PGPP141pp	Phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:1)	Glycerophospholipid Metabolism	h2o_p + pgp141_p  -> pg141_p + pi_p 	0.00 / 4.41	0.00 / 4.41	0.00 / 5.39	0.82
PGPP160pp	Phosphatidylglycerol phosphate phosphatase (periplasm, n-C16:0)	Glycerophospholipid Metabolism	h2o_p + pgp160_p  -> pg160_p + pi_p 	0.00 / 4.41	0.00 / 4.41	0.00 / 5.39	0.82
PGPP180pp	Phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:0)	Glycerophospholipid Metabolism	h2o_p + pgp180_p  -> pg180_p + pi_p 	0.00 / 4.41	0.00 / 4.41	0.00 / 5.39	0.82
CLPNH141pp	Cardiolipin hydrolase (periplasm, n-C14:1)	Glycerophospholipid Metabolism	h2o_p + clpn141_p  -> h_p + pg141_p + pa141_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
CLPNH160pp	Cardiolipin hydrolase (periplasm, n-C16:0)	Glycerophospholipid Metabolism	h2o_p + clpn160_p  -> h_p + pg160_p + pa160_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
CLPNH161pp	Cardiolipin hydrolase (periplasm, n-C16:1)	Glycerophospholipid Metabolism	clpn161_p + h2o_p  -> h_p + pa161_p + pg161_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
CLPNH181pp	Cardiolipin hydrolase (periplasm, n-C18:1)	Glycerophospholipid Metabolism	h2o_p + clpn181_p  -> h_p + pg181_p + pa181_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PLIPA1E180pp	Phospholipase A1 (phosphatidylethanolamine, n-C18:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pe180_p  -> h_p + ocdca_p + 2agpe180_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PLIPA1G140pp	Phospholipase A1 (phosphatidylglycerol, n-C14:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pg140_p  -> h_p + ttdca_p + 2agpg140_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PLIPA1G161pp	Phospholipase A1 (phosphatidylglycerol, n-C16:1) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pg161_p  -> h_p + 2agpg161_p + hdcea_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
CLPNS160pp	Cardiolipin synthase (periplasmic, n-C16:0)	Glycerophospholipid Metabolism	2 pg160_p  <=> glyc_p + clpn160_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
CLPNS161pp	Cardiolipin synthase (periplasmic, n-C16:1)	Glycerophospholipid Metabolism	2 pg161_p  <=> clpn161_p + glyc_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PG160abcpp	Phosphatidylglycerol transport via ABC system (n-C16:0, periplasm)	Transport, Inner Membrane	atp_c + pg160_c + h2o_c  -> h_c + adp_c + pi_c + pg160_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PGP140abcpp	Phosphatidylglycerophosphate transport via ABC system (n-C14:0, periplasm)	Transport, Inner Membrane	atp_c + pgp140_c + h2o_c  -> h_c + adp_c + pi_c + pgp140_p 	0.00 / 4.41	0.00 / 4.41	0.00 / 5.39	0.82
PAPA120pp	Phosphatidate phosphatase (periplasmic, n-C12:0)	Glycerophospholipid Metabolism	h2o_p + pa120_p  -> 12dgr120_p + pi_p 	0.00 / 10.28	0.00 / 10.28	0.00 / 12.58	0.82
PAPA140pp	Phosphatidate phosphatase (periplasmic, n-C14:0)	Glycerophospholipid Metabolism	h2o_p + pa140_p  -> 12dgr140_p + pi_p 	0.00 / 10.28	0.00 / 10.28	0.00 / 12.58	0.82
PAPA141pp	Phosphatidate phosphatase (periplasmic, n-C14:1)	Glycerophospholipid Metabolism	h2o_p + pa141_p  -> 12dgr141_p + pi_p 	0.00 / 10.28	0.00 / 10.28	0.00 / 12.58	0.82
PAPA160pp	Phosphatidate phosphatase (periplasmic, n-C16:0)	Glycerophospholipid Metabolism	h2o_p + pa160_p  -> pi_p + 12dgr160_p 	0.00 / 10.28	0.00 / 10.28	0.00 / 12.58	0.82
PAPA161pp	Phosphatidate phosphatase (periplasmic, n-C16:1)	Glycerophospholipid Metabolism	h2o_p + pa161_p  -> 12dgr161_p + pi_p 	0.00 / 10.28	0.00 / 10.28	0.00 / 12.58	0.82
PAPA180pp	Phosphatidate phosphatase (periplasmic, n-C18:0)	Glycerophospholipid Metabolism	h2o_p + pa180_p  -> 12dgr180_p + pi_p 	0.00 / 10.28	0.00 / 10.28	0.00 / 12.58	0.82
GSNt2pp	Guanosine transport in via proton symport (periplasm)	Transport, Inner Membrane	h_p + gsn_p  -> h_c + gsn_c 	0.00 / 46.28	0.00 / 46.28	0.00 / 56.59	0.82
PHEt2rpp	L-phenylalanine reversible transport via proton symport (periplasm)	Transport, Inner Membrane	h_p + phe__L_p  <=> h_c + phe__L_c 	0.00 / 92.56	0.00 / 92.56	0.00 / 113.18	0.82
DHBS	2,3-dihydroxybenzoate adenylate synthase	Cofactor and Prosthetic Group Biosynthesis	h_c + atp_c + 23dhb_c  -> 23dhba_c + ppi_c 	0.00 / 5.79	0.00 / 5.79	0.00 / 7.07	0.82
GLYCK	Glycerate kinase	Glyoxylate Metabolism	atp_c + glyc__R_c  -> h_c + 3pg_c + adp_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
MLTG5	Maltodextrin glucosidase (maltoheptaose)	Alternate Carbon Metabolism	h2o_c + malthp_c  -> glc__D_c + malthx_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
MELIBt3ipp	Melibiose transport in via antiport (periplasm)	Transport, Inner Membrane	h_p + melib_c  -> h_c + melib_p 	0.00 / 46.28	0.00 / 46.28	0.00 / 56.59	0.82
PLIPA1A181pp	Phospholipase A1 (phosphatidate, n-C18:1) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pa181_p  -> ocdcea_p + 2odec11eg3p_p 	0.00 / 3.19	0.00 / 3.19	0.00 / 3.90	0.82
LPLIPAL2A141	Lysophospholipase L2 (2-acylglycerophosphotidate, n-C14:1)	Glycerophospholipid Metabolism	2tdec7eg3p_c + h2o_c  -> 2 h_c + glyc3p_c + ttdcea_c 	0.00 / 3.19	0.00 / 3.19	0.00 / 3.90	0.82
DASYN140	CDP-diacylglycerol synthetase (n-C14:0)	Glycerophospholipid Metabolism	h_c + ctp_c + pa140_c  -> cdpdtdecg_c + ppi_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
DASYN180	CDP-diacylglycerol synthetase (n-C18:0)	Glycerophospholipid Metabolism	h_c + ctp_c + pa180_c  -> cdpdodecg_c + ppi_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
DASYN141	CDP-diacylglycerol synthetase (n-C14:1)	Glycerophospholipid Metabolism	h_c + pa141_c + ctp_c  -> cdpdtdec7eg_c + ppi_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
CDAPPA160	CDP-Diacylglycerol pyrophostatase (n-C16:0)	Glycerophospholipid Metabolism	h2o_c + cdpdhdecg_c  -> 2 h_c + pa160_c + cmp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
CDAPPA141	CDP-Diacylglycerol pyrophostatase (n-C14:1)	Glycerophospholipid Metabolism	cdpdtdec7eg_c + h2o_c  -> 2 h_c + pa141_c + cmp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
PGSA141	Phosphatidylglycerol synthase (n-C14:1)	Glycerophospholipid Metabolism	glyc3p_c + cdpdtdec7eg_c  -> h_c + pgp141_c + cmp_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PGPP120	Phosphatidylglycerol phosphate phosphatase (n-C14:0)	Glycerophospholipid Metabolism	h2o_c + pgp120_c  -> pi_c + pg120_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
DAGK120	Diacylglycerol kinase (n-C12:0)	Glycerophospholipid Metabolism	atp_c + 12dgr120_c  -> h_c + adp_c + pa120_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
PLIPA2A140pp	Phospholipase A2 (phosphatidate, n-C14:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pa140_p  -> h_p + ttdca_p + 1tdecg3p_p 	0.00 / 2.50	0.00 / 2.50	0.00 / 3.06	0.82
PLIPA2A141pp	Phospholipase A2 (phosphatidate, n-C14:1) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pa141_p  -> h_p + ttdcea_p + 1tdec7eg3p_p 	0.00 / 2.50	0.00 / 2.50	0.00 / 3.06	0.82
PLIPA2A180pp	Phospholipase A2 (phosphatidate, n-C18:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pa180_p  -> 1odecg3p_p + h_p + ocdca_p 	0.00 / 2.50	0.00 / 2.50	0.00 / 3.06	0.82
LPLIPAL1G160pp	Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + 1agpg160_p  -> hdca_p + h_p + g3pg_p 	0.00 / 1.93	0.00 / 1.93	0.00 / 2.36	0.82
LPLIPAL1G161pp	Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:1) (periplasm)	Glycerophospholipid Metabolism	h2o_p + 1agpg161_p  -> h_p + g3pg_p + hdcea_p 	0.00 / 1.93	0.00 / 1.93	0.00 / 2.36	0.82
LPLIPAL1G120pp	Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C12:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + 1agpg120_p  -> h_p + g3pg_p + ddca_p 	0.00 / 1.93	0.00 / 1.93	0.00 / 2.36	0.82
PLIPA2A161pp	Phospholipase A2 (phosphatidate, n-C16:1) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pa161_p  -> h_p + 1hdec9eg3p_p + hdcea_p 	0.00 / 2.50	0.00 / 2.50	0.00 / 3.06	0.82
PLIPA2A181pp	Phospholipase A2 (phosphatidate, n-C18:1) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pa181_p  -> ocdcea_p + h_p + 1odec11eg3p_p 	0.00 / 2.50	0.00 / 2.50	0.00 / 3.06	0.82
LPLIPAL1G141pp	Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C14:1) (periplasm)	Glycerophospholipid Metabolism	h2o_p + 1agpg141_p  -> h_p + ttdcea_p + g3pg_p 	0.00 / 1.93	0.00 / 1.93	0.00 / 2.36	0.82
LPLIPAL1G180pp	Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C18:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + 1agpg180_p  -> h_p + ocdca_p + g3pg_p 	0.00 / 1.93	0.00 / 1.93	0.00 / 2.36	0.82
LPLIPAL1G181pp	Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C18:1) (periplasm)	Glycerophospholipid Metabolism	h2o_p + 1agpg181_p  -> ocdcea_p + h_p + g3pg_p 	0.00 / 1.93	0.00 / 1.93	0.00 / 2.36	0.82
GLCP2	Glycogen phosphorylase	Glycolysis/Gluconeogenesis	pi_c + bglycogen_c  -> g1p_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
PLIPA2G140pp	Phospholipase A2 (phosphatidylglycerol, n-C14:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pg140_p  -> h_p + ttdca_p + 1agpg140_p 	0.00 / 1.93	0.00 / 1.93	0.00 / 2.36	0.82
PLIPA2G160pp	Phospholipase A2 (phosphatidylglycerol, n-C16:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pg160_p  -> hdca_p + h_p + 1agpg160_p 	0.00 / 1.93	0.00 / 1.93	0.00 / 2.36	0.82
PLIPA2G181pp	Phospholipase A2 (phosphatidylglycerol, n-C18:1) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pg181_p  -> ocdcea_p + 1agpg181_p + h_p 	0.00 / 1.93	0.00 / 1.93	0.00 / 2.36	0.82
ASNS1	Asparagine synthase (glutamine-hydrolysing)	Alanine and Aspartate Metabolism	asp__L_c + atp_c + gln__L_c + h2o_c  -> h_c + ppi_c + glu__L_c + asn__L_c + amp_c 	0.00 / 8.41	0.00 / 8.41	0.00 / 10.29	0.82
EAR121y	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:1)	Cell Envelope Biosynthesis	h_c + t3c5ddeceACP_c + nadph_c  -> nadp_c + cddec5eACP_c 	0.00 / 2.87	0.00 / 2.87	0.00 / 3.50	0.82
GTHRDHpp	Glutathione hydralase (periplasmic)	Cofactor and Prosthetic Group Biosynthesis	h2o_p + gthrd_p  -> cgly_p + glu__L_p 	0.00 / 5.44	0.00 / 5.44	0.00 / 6.66	0.82
CDAPPA140	CDP-Diacylglycerol pyrophostatase (n-C14:0)	Glycerophospholipid Metabolism	cdpdtdecg_c + h2o_c  -> 2 h_c + pa140_c + cmp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
CDAPPA181	CDP-Diacylglycerol pyrophostatase (n-C18:1)	Glycerophospholipid Metabolism	h2o_c + cdpdodec11eg_c  -> 2 h_c + pa181_c + cmp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
PGSA140	Phosphatidylglycerol synthase (n-C14:0)	Glycerophospholipid Metabolism	glyc3p_c + cdpdtdecg_c  -> h_c + pgp140_c + cmp_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
LPLIPAL1A141pp	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:1) (periplasm)	Glycerophospholipid Metabolism	h2o_p + 1tdec7eg3p_p  -> h_p + ttdcea_p + glyc3p_p 	0.00 / 2.50	0.00 / 2.50	0.00 / 3.06	0.82
LPLIPAL1A180pp	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:0) (periplasm)	Glycerophospholipid Metabolism	1odecg3p_p + h2o_p  -> h_p + ocdca_p + glyc3p_p 	0.00 / 2.50	0.00 / 2.50	0.00 / 3.06	0.82
LPLIPAL1G140pp	Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C14:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + 1agpg140_p  -> h_p + ttdca_p + g3pg_p 	0.00 / 1.93	0.00 / 1.93	0.00 / 2.36	0.82
12DGR140tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)	Transport, Inner Membrane	12dgr140_p  -> 12dgr140_c 	0.00 / 10.28	0.00 / 10.28	0.00 / 12.58	0.82
12DGR160tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)	Transport, Inner Membrane	12dgr160_p  -> 12dgr160_c 	0.00 / 10.28	0.00 / 10.28	0.00 / 12.58	0.82
12DGR180tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)	Transport, Inner Membrane	12dgr180_p  -> 12dgr180_c 	0.00 / 10.28	0.00 / 10.28	0.00 / 12.58	0.82
PGPP120pp	Phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:0)	Glycerophospholipid Metabolism	h2o_p + pgp120_p  -> pg120_p + pi_p 	0.00 / 4.41	0.00 / 4.41	0.00 / 5.39	0.82
PGPP181pp	Phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:1)	Glycerophospholipid Metabolism	h2o_p + pgp181_p  -> pg181_p + pi_p 	0.00 / 4.41	0.00 / 4.41	0.00 / 5.39	0.82
CLPNH120pp	Cardiolipin hydrolase (periplasm, n-C12:0)	Glycerophospholipid Metabolism	clpn120_p + h2o_p  -> h_p + pa120_p + pg120_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
CLPNH140pp	Cardiolipin hydrolase (periplasm, n-C14:0)	Glycerophospholipid Metabolism	h2o_p + clpn140_p  -> h_p + pg140_p + pa140_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PGSA181	Phosphatidylglycerol synthase (n-C18:1)	Glycerophospholipid Metabolism	glyc3p_c + cdpdodec11eg_c  -> h_c + cmp_c + pgp181_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PGPP140	Phosphatidylglycerol phosphate phosphatase (n-C14:0)	Glycerophospholipid Metabolism	pgp140_c + h2o_c  -> pi_c + pg140_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PGPP141	Phosphatidylglycerol phosphate phosphatase (n-C14:1)	Glycerophospholipid Metabolism	pgp141_c + h2o_c  -> pi_c + pg141_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PGSA160	Phosphatidylglycerol synthase (n-C16:0)	Glycerophospholipid Metabolism	glyc3p_c + cdpdhdecg_c  -> h_c + pgp160_c + cmp_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PGSA161	Phosphatidylglycerol synthase (n-C16:1)	Glycerophospholipid Metabolism	cdpdhdec9eg_c + glyc3p_c  -> h_c + pgp161_c + cmp_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PGPP160	Phosphatidylglycerol phosphate phosphatase (n-C16:0)	Glycerophospholipid Metabolism	pgp160_c + h2o_c  -> pi_c + pg160_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PGPP180	Phosphatidylglycerol phosphate phosphatase (n-C18:0)	Glycerophospholipid Metabolism	h2o_c + pgp180_c  -> pi_c + pg180_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PGPP161	Phosphatidylglycerol phosphate phosphatase (n-C16:1)	Glycerophospholipid Metabolism	pgp161_c + h2o_c  -> pg161_c + pi_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PGPP181	Phosphatidylglycerol phosphate phosphatase (n-C18:1)	Glycerophospholipid Metabolism	h2o_c + pgp181_c  -> pi_c + pg181_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
CDAPPA180	CDP-Diacylglycerol pyrophostatase (n-C18:0)	Glycerophospholipid Metabolism	cdpdodecg_c + h2o_c  -> 2 h_c + pa180_c + cmp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
PE141abcpp	Phosphatidylethanolamine transport via ABC system (n-C14:1, periplasm)	Transport, Inner Membrane	atp_c + pe141_c + h2o_c  -> h_c + adp_c + pi_c + pe141_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PE160abcpp	Phosphatidylethanolamine transport via ABC system (n-C16:0, periplasm)	Transport, Inner Membrane	atp_c + pe160_c + h2o_c  -> h_c + adp_c + pi_c + pe160_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PE161abcpp	Phosphatidylethanolamine transport via ABC system (n-C16:1, periplasm)	Transport, Inner Membrane	atp_c + h2o_c + pe161_c  -> h_c + adp_c + pi_c + pe161_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PG140abcpp	Phosphatidylglycerol transport via ABC system (n-C14:0, periplasm)	Transport, Inner Membrane	atp_c + h2o_c + pg140_c  -> h_c + adp_c + pi_c + pg140_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PG141abcpp	Phosphatidylglycerol transport via ABC system (n-C14:1, periplasm)	Transport, Inner Membrane	atp_c + h2o_c + pg141_c  -> h_c + pg141_p + adp_c + pi_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PG180abcpp	Phosphatidylglycerol transport via ABC system (n-C18:0, periplasm)	Transport, Inner Membrane	atp_c + pg180_c + h2o_c  -> h_c + adp_c + pi_c + pg180_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PG181abcpp	Phosphatidylglycerol transport via ABC system (n-C18:1, periplasm)	Transport, Inner Membrane	atp_c + h2o_c + pg181_c  -> h_c + adp_c + pi_c + pg181_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PGP141abcpp	Phosphatidylglycerophosphate transport via ABC system (n-C14:1, periplasm)	Transport, Inner Membrane	pgp141_c + atp_c + h2o_c  -> h_c + adp_c + pi_c + pgp141_p 	0.00 / 4.41	0.00 / 4.41	0.00 / 5.39	0.82
PGP160abcpp	Phosphatidylglycerophosphate transport via ABC system (n-C16:0, periplasm)	Transport, Inner Membrane	atp_c + pgp160_c + h2o_c  -> h_c + pgp160_p + adp_c + pi_c 	0.00 / 4.41	0.00 / 4.41	0.00 / 5.39	0.82
PGP180abcpp	Phosphatidylglycerophosphate transport via ABC system (n-C18:0, periplasm)	Transport, Inner Membrane	atp_c + h2o_c + pgp180_c  -> h_c + adp_c + pi_c + pgp180_p 	0.00 / 4.41	0.00 / 4.41	0.00 / 5.39	0.82
PAPA181pp	Phosphatidate phosphatase (periplasmic, n-C18:1)	Glycerophospholipid Metabolism	h2o_p + pa181_p  -> 12dgr181_p + pi_p 	0.00 / 10.28	0.00 / 10.28	0.00 / 12.58	0.82
PA140abcpp	Phosphatidate transport via ABC system (n-C14:0, periplasm)	Transport, Inner Membrane	pa140_c + atp_c + h2o_c  -> h_c + adp_c + pi_c + pa140_p 	0.00 / 10.28	0.00 / 10.28	0.00 / 12.58	0.82
12DGR120tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)	Transport, Inner Membrane	12dgr120_p  -> 12dgr120_c 	0.00 / 10.28	0.00 / 10.28	0.00 / 12.58	0.82
CLPNS140pp	Cardiolipin synthase (periplasmic, n-C14:0)	Glycerophospholipid Metabolism	2 pg140_p  <=> clpn140_p + glyc_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
CLPNS141pp	Cardiolipin synthase (periplasmic, n-C14:1)	Glycerophospholipid Metabolism	2 pg141_p  <=> clpn141_p + glyc_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PG120abcpp	Phosphatidylglycerol transport via ABC system (n-C12:0, periplasm)	Transport, Inner Membrane	pg120_c + atp_c + h2o_c  -> h_c + adp_c + pi_c + pg120_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PE140abcpp	Phosphatidylethanolamine transport via ABC system (n-C14:0, periplasm)	Transport, Inner Membrane	atp_c + h2o_c + pe140_c  -> h_c + pe140_p + adp_c + pi_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PAPA160	Phosphatidate phosphatase (n-C16:0)	Glycerophospholipid Metabolism	pa160_c + h2o_c  -> pi_c + 12dgr160_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
